Simulated control sequence with PD control:
Sequence steps: [0, 10, -10, 5, -5] 
Kp = 0.7213012910520777
Kd = 0.39466422611731
Limitations of the gamma control: +/- 8
Optimization solver: Nelder-Mead
Cost function type: penalty
Time(s)	Roll(deg)	Error	Control_cmd	gamma_L	gamma_R	target
0.83500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.83750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.84000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.84250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.84500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.84750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.85000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.85250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.85500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.85750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.86000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.86250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.86500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.86750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.87000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.87250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.87500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.87750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.88000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.88250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.88500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.88750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.89000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.89250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.89500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.89750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.90000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.90250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.90500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.90750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.91000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.91250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.91500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.91750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.92000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.92250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.92500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.92750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.93000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.93250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
